[INFO] Start loading designs file at "C:\Projects\ACNHDesigner\ACNHDesigner\sav7\myDesigns.designs"
[INFO] New file?: False
[INFO] Successfully loaded designs file!
[DEBUG] Opening pattern selector...
[TRACE] Current menu: Designs
[TRACE] Removing all pattern objects (count: 6)
[TRACE] Creating pattern selector button for design (0)
[TRACE] Creating pattern selector button for design (1)
[TRACE] Creating pattern selector button for design (2)
[TRACE] Creating pattern selector button for design (3)
[TRACE] Creating pattern selector button for design (4)
[TRACE] Creating pattern selector button for design (5)
[TRACE] Creating pattern selector button for design (6)
[TRACE] Creating pattern selector button for design (7)
[TRACE] Creating pattern selector button for design (8)
[TRACE] Creating pattern selector button for design (9)
[TRACE] Creating pattern selector button for design (10)
[TRACE] Creating pattern selector button for design (11)
[TRACE] Creating pattern selector button for design (12)
[TRACE] Creating pattern selector button for design (13)
[TRACE] Creating pattern selector button for design (14)
[TRACE] Creating pattern selector button for design (15)
[TRACE] Creating pattern selector button for design (16)
[TRACE] Creating pattern selector button for design (17)
[TRACE] Creating pattern selector button for design (18)
[TRACE] Creating pattern selector button for design (19)
[TRACE] Creating pattern selector button for design (20)
[TRACE] Creating pattern selector button for design (21)
[TRACE] Creating pattern selector button for design (22)
[TRACE] Creating pattern selector button for design (23)
[TRACE] Creating pattern selector button for design (24)
[TRACE] Creating pattern selector button for design (25)
[TRACE] Creating pattern selector button for design (26)
[TRACE] Creating pattern selector button for design (27)
[TRACE] Creating pattern selector button for design (28)
[TRACE] Creating pattern selector button for design (29)
[TRACE] Creating pattern selector button for design (30)
[TRACE] Creating pattern selector button for design (31)
[TRACE] Creating pattern selector button for design (32)
[TRACE] Creating pattern selector button for design (33)
[TRACE] Creating pattern selector button for design (34)
[TRACE] Creating pattern selector button for design (35)
[TRACE] Creating pattern selector button for design (36)
[TRACE] Creating pattern selector button for design (37)
[TRACE] Creating pattern selector button for design (38)
[TRACE] Creating pattern selector button for design (39)
[TRACE] Creating pattern selector button for design (40)
[TRACE] Creating pattern selector button for design (41)
[TRACE] Creating pattern selector button for design (42)
[TRACE] Creating pattern selector button for design (43)
[TRACE] Creating pattern selector button for design (44)
[TRACE] Creating pattern selector button for design (45)
[TRACE] Creating pattern selector button for design (46)
[TRACE] Creating pattern selector button for design (47)
[TRACE] Creating pattern selector button for design (48)
[TRACE] Creating pattern selector button for design (49)
